experiment_id,seed,run_name,replay_mode,task_order,task,split,accuracy,forgetting,model,data_dir,data_source,use_audited_review,audited_review_csv,train_size,val_size,test_size,epochs,batch_size,learning_rate
exp011,13,seed13_no_replay_3tasks,none,sciq -> arc_challenge -> boolq,sciq,val,0.3333,0.2000,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,1,2,0.0005
exp011,13,seed13_no_replay_3tasks,none,sciq -> arc_challenge -> boolq,arc_challenge,val,0.1000,0.1333,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,1,2,0.0005
exp011,13,seed13_no_replay_3tasks,none,sciq -> arc_challenge -> boolq,boolq,val,0.5333,0.0000,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,1,2,0.0005
exp011,13,seed13_no_replay_3tasks,none,sciq -> arc_challenge -> boolq,sciq,test,0.4200,,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,1,2,0.0005
exp011,13,seed13_no_replay_3tasks,none,sciq -> arc_challenge -> boolq,arc_challenge,test,0.1200,,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,1,2,0.0005
exp011,13,seed13_no_replay_3tasks,none,sciq -> arc_challenge -> boolq,boolq,test,0.4800,,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,1,2,0.0005
exp011,13,seed13_scored_replay_3tasks,scored,sciq -> arc_challenge -> boolq,sciq,val,0.4000,0.1333,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,1,2,0.0005
exp011,13,seed13_scored_replay_3tasks,scored,sciq -> arc_challenge -> boolq,arc_challenge,val,0.2000,0.0000,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,1,2,0.0005
exp011,13,seed13_scored_replay_3tasks,scored,sciq -> arc_challenge -> boolq,boolq,val,0.5333,0.0000,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,1,2,0.0005
exp011,13,seed13_scored_replay_3tasks,scored,sciq -> arc_challenge -> boolq,sciq,test,0.4000,,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,1,2,0.0005
exp011,13,seed13_scored_replay_3tasks,scored,sciq -> arc_challenge -> boolq,arc_challenge,test,0.1800,,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,1,2,0.0005
exp011,13,seed13_scored_replay_3tasks,scored,sciq -> arc_challenge -> boolq,boolq,test,0.4800,,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,1,2,0.0005
exp011,13,seed13_random_replay_3tasks,random,sciq -> arc_challenge -> boolq,sciq,val,0.4333,0.1000,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,1,2,0.0005
exp011,13,seed13_random_replay_3tasks,random,sciq -> arc_challenge -> boolq,arc_challenge,val,0.2667,0.0000,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,1,2,0.0005
exp011,13,seed13_random_replay_3tasks,random,sciq -> arc_challenge -> boolq,boolq,val,0.5333,0.0000,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,1,2,0.0005
exp011,13,seed13_random_replay_3tasks,random,sciq -> arc_challenge -> boolq,sciq,test,0.3200,,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,1,2,0.0005
exp011,13,seed13_random_replay_3tasks,random,sciq -> arc_challenge -> boolq,arc_challenge,test,0.2400,,google/flan-t5-small,data/processed,processed_plus_audited_review,True,outputs/final_review/final_reviewed_dataset.csv,100,30,50,1,2,0.0005
