sample_id,task_name,split,source_dataset,input_text,target_text,token_count,loss,surprise_score,replay_selection_score,replay_selection_strategy,was_selected_for_replay
arc_challenge_train_000001,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: Photosynthesis is a process involving carbon dioxide, water, glucose, oxygen, and sunlight. Which is the correct chemical equation for photosynthesis?
Options:
A. O_{2} + H_{2}O + energy -> C_{6}H_{12}O_{6} + CO_{2}
B. CO_{2} + H_{2}O -> C_{6}H_{6}O_{3} + O_{2} + energy
C. 6O_{2} + 6H_{2}O -> C_{6}H_{12}O_{6} + 6CO_{2} + energy
D. 6CO_{2} + 6H_{2}O + energy -> C_{6}H_{12}O_{6} + 6O_{2}
Answer:",6CO_{2} + 6H_{2}O + energy -> C_{6}H_{12}O_{6} + 6O_{2},32,0.13671372830867767,0.13671372830867767,0.13671372830867767,surprise,0
arc_challenge_train_000002,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: A ship leaks a large amount of oil near a coastal area. Which statement describes how the oil most likely will affect the coastal habitat?
Options:
A. Fish reproduction rates will increase.
B. Water birds will be unable to use their wings.
C. Water plants will be exposed to more sunlight.
D. Coastal plants will have access to more nutrients.
Answer:",Water birds will be unable to use their wings.,12,0.6906498074531555,0.6906498074531555,0.6906498074531555,surprise,1
arc_challenge_train_000003,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: Two students are asked to make a chart on the electromagnetic spectrum. Reading left to right, one student's chart shows the spectrum from gamma rays to radio waves, while the other student's chart shows the opposite. If the teacher says that both charts are correct, then
Options:
A. it does not matter how the students label their charts.
B. there are multiple ways to organize information.
C. the waves have the same properties.
D. the students are being encouraged to do their work.
Answer:",there are multiple ways to organize information.,9,0.03742324188351631,0.03742324188351631,0.03742324188351631,surprise,0
arc_challenge_train_000004,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: Heat, light, and sound are all different forms of ___.
Options:
A. fuel
B. energy
C. matter
D. electricity
Answer:",energy,2,0.027981920167803764,0.027981920167803764,0.027981920167803764,surprise,0
arc_challenge_train_000005,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: Puddles on a sidewalk are evaporating quickly. What most likely causes the puddles to evaporate?
Options:
A. heat
B. clouds
C. air
D. water
Answer:",heat,2,0.05782957002520561,0.05782957002520561,0.05782957002520561,surprise,0
arc_challenge_train_000006,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: Which statement is an observation?
Options:
A. The plant has flowers.
B. The plant is very pretty.
C. The plant will grow berries.
D. The plant might be poisonous.
Answer:",The plant has flowers.,6,0.44940364360809326,0.44940364360809326,0.44940364360809326,surprise,1
arc_challenge_train_000007,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: An old T-shirt can be ripped into smaller pieces and used as rags. An empty milk jug can be used to water houseplants. Both of these are examples of how
Options:
A. saving water conserves future resources
B. using old materials can waste money
C. plants need water to be healthy
D. everyday materials can be reused
Answer:",everyday materials can be reused,7,0.3292446434497833,0.3292446434497833,0.3292446434497833,surprise,1
arc_challenge_train_000008,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: The source of energy for the Earth's water cycle is the
Options:
A. wind
B. Sun's radiation
C. Earth's radiation
D. Sun's gravity
Answer:",Sun's radiation,5,0.02140413410961628,0.02140413410961628,0.02140413410961628,surprise,0
arc_challenge_train_000009,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: Students studying membranes conducted an experiment using labeled paper cups filled with varying concentrations of red food coloring. After the experiment, the cups were empty and stained. What should be done with used cups?
Options:
A. reuse the cups
B. dispose of the cups
C. recycle the cups
D. relabel the cups
Answer:",recycle the cups,4,0.1684110164642334,0.1684110164642334,0.1684110164642334,surprise,0
arc_challenge_train_000010,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: The following mathematical expressions represent four different concentrations of a chemical solution to be used in a science experiment. Which one is equal in magnitude to 1/1000?
Options:
A. 1.0 x 10^3
B. 1.0 x 10^4
C. 1.0 x 10^-3
D. 1.0 x 10^-4
Answer:",1.0 x 10^-3,8,0.02823037840425968,0.02823037840425968,0.02823037840425968,surprise,0
