after_task,sample_id,task_name,split,source_dataset,replay_mode,replay_selection_strategy,replay_selection_score
sciq,sciq_train_000028,sciq,train,allenai/sciq,random,random,0.9970306217337916
sciq,sciq_train_000036,sciq,train,allenai/sciq,random,random,0.9925454526178866
sciq,sciq_train_000079,sciq,train,allenai/sciq,random,random,0.9776822126054553
sciq,sciq_train_000024,sciq,train,allenai/sciq,random,random,0.9776334857459981
sciq,sciq_train_000059,sciq,train,allenai/sciq,random,random,0.9753900950532933
sciq,sciq_train_000002,sciq,train,allenai/sciq,random,random,0.9462245377648041
sciq,sciq_train_000073,sciq,train,allenai/sciq,random,random,0.9279438495466851
sciq,sciq_train_000045,sciq,train,allenai/sciq,random,random,0.9183145305431367
sciq,sciq_train_000063,sciq,train,allenai/sciq,random,random,0.8853810413219199
sciq,sciq_train_000029,sciq,train,allenai/sciq,random,random,0.8811962510468694
sciq,sciq_train_000086,sciq,train,allenai/sciq,random,random,0.8797637844004353
sciq,sciq_train_000051,sciq,train,allenai/sciq,random,random,0.8334439418318753
sciq,sciq_train_000047,sciq,train,allenai/sciq,random,random,0.8290565222334145
sciq,sciq_train_000078,sciq,train,allenai/sciq,random,random,0.8269499345561151
sciq,sciq_train_000001,sciq,train,allenai/sciq,random,random,0.7985218090241315
sciq,sciq_train_000074,sciq,train,allenai/sciq,random,random,0.7966566832271263
sciq,sciq_train_000011,sciq,train,allenai/sciq,random,random,0.7937120638115951
sciq,sciq_train_000099,sciq,train,allenai/sciq,random,random,0.7809028017062956
sciq,sciq_train_000026,sciq,train,allenai/sciq,random,random,0.7648373772035352
sciq,sciq_train_000066,sciq,train,allenai/sciq,random,random,0.7630625147109074
sciq,sciq_train_000042,sciq,train,allenai/sciq,random,random,0.7584487622722343
sciq,sciq_train_000038,sciq,train,allenai/sciq,random,random,0.7303350555112519
sciq,sciq_train_000037,sciq,train,allenai/sciq,random,random,0.7175459841063555
sciq,sciq_train_000089,sciq,train,allenai/sciq,random,random,0.667627433628211
sciq,sciq_train_000014,sciq,train,allenai/sciq,random,random,0.6652602327705055
sciq,sciq_train_000067,sciq,train,allenai/sciq,random,random,0.6553170633593912
sciq,sciq_train_000003,sciq,train,allenai/sciq,random,random,0.6420247018972481
sciq,sciq_train_000016,sciq,train,allenai/sciq,random,random,0.6344654950055995
sciq,sciq_train_000054,sciq,train,allenai/sciq,random,random,0.6097786045343353
sciq,sciq_train_000019,sciq,train,allenai/sciq,random,random,0.6082193269348328
arc_challenge,arc_challenge_train_000098,arc_challenge,train,allenai/ai2_arc,random,random,0.9980990903544188
arc_challenge,arc_challenge_train_000065,arc_challenge,train,allenai/ai2_arc,random,random,0.9934199528936174
