after_task,sample_id,task_name,split,source_dataset,replay_mode,replay_selection_strategy,replay_selection_score
sciq,sciq_train_000001,sciq,train,allenai/sciq,scored,surprise,2.099752902984619
sciq,sciq_train_000032,sciq,train,allenai/sciq,scored,surprise,1.8133645057678223
sciq,sciq_train_000055,sciq,train,allenai/sciq,scored,surprise,1.5530869960784912
sciq,sciq_train_000079,sciq,train,allenai/sciq,scored,surprise,1.432019829750061
sciq,sciq_train_000037,sciq,train,allenai/sciq,scored,surprise,1.1441388130187988
sciq,sciq_train_000026,sciq,train,allenai/sciq,scored,surprise,0.9688143134117126
sciq,sciq_train_000096,sciq,train,allenai/sciq,scored,surprise,0.8464748859405518
sciq,sciq_train_000098,sciq,train,allenai/sciq,scored,surprise,0.8428559303283691
sciq,sciq_train_000090,sciq,train,allenai/sciq,scored,surprise,0.7516480684280396
sciq,sciq_train_000052,sciq,train,allenai/sciq,scored,surprise,0.7430232167243958
sciq,sciq_train_000025,sciq,train,allenai/sciq,scored,surprise,0.7326375246047974
sciq,sciq_train_000036,sciq,train,allenai/sciq,scored,surprise,0.7281318306922913
sciq,sciq_train_000089,sciq,train,allenai/sciq,scored,surprise,0.7136405110359192
sciq,sciq_train_000043,sciq,train,allenai/sciq,scored,surprise,0.690162718296051
sciq,sciq_train_000031,sciq,train,allenai/sciq,scored,surprise,0.6749458312988281
sciq,sciq_train_000004,sciq,train,allenai/sciq,scored,surprise,0.6175118088722229
sciq,sciq_train_000007,sciq,train,allenai/sciq,scored,surprise,0.6068838238716125
sciq,sciq_train_000024,sciq,train,allenai/sciq,scored,surprise,0.5824341773986816
sciq,sciq_train_000012,sciq,train,allenai/sciq,scored,surprise,0.4794365465641022
sciq,sciq_train_000044,sciq,train,allenai/sciq,scored,surprise,0.45194029808044434
sciq,sciq_train_000030,sciq,train,allenai/sciq,scored,surprise,0.44995632767677307
sciq,sciq_train_000013,sciq,train,allenai/sciq,scored,surprise,0.4492262601852417
sciq,sciq_train_000008,sciq,train,allenai/sciq,scored,surprise,0.40588492155075073
sciq,sciq_train_000029,sciq,train,allenai/sciq,scored,surprise,0.40294742584228516
sciq,sciq_train_000087,sciq,train,allenai/sciq,scored,surprise,0.3834230899810791
sciq,sciq_train_000062,sciq,train,allenai/sciq,scored,surprise,0.35958147048950195
sciq,sciq_train_000082,sciq,train,allenai/sciq,scored,surprise,0.3314453661441803
sciq,sciq_train_000068,sciq,train,allenai/sciq,scored,surprise,0.30565619468688965
sciq,sciq_train_000028,sciq,train,allenai/sciq,scored,surprise,0.2965795397758484
sciq,sciq_train_000010,sciq,train,allenai/sciq,scored,surprise,0.25373122096061707
arc_challenge,arc_challenge_train_000045,arc_challenge,train,allenai/ai2_arc,scored,surprise,1.7212525606155396
arc_challenge,arc_challenge_train_000100,arc_challenge,train,allenai/ai2_arc,scored,surprise,1.2154895067214966
arc_challenge,arc_challenge_train_000034,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.9841498732566833
arc_challenge,arc_challenge_train_000084,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.8973401188850403
arc_challenge,arc_challenge_train_000039,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.8821861147880554
arc_challenge,arc_challenge_train_000096,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.8191079497337341
arc_challenge,arc_challenge_train_000030,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.6994688510894775
arc_challenge,arc_challenge_train_000043,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.6992087960243225
arc_challenge,arc_challenge_train_000002,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.6906498074531555
arc_challenge,arc_challenge_train_000099,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.6678645014762878
arc_challenge,arc_challenge_train_000015,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.6640825867652893
arc_challenge,arc_challenge_train_000072,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.6158320307731628
arc_challenge,arc_challenge_train_000041,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.4795633554458618
arc_challenge,arc_challenge_train_000006,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.44940364360809326
arc_challenge,arc_challenge_train_000020,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.4053052067756653
arc_challenge,arc_challenge_train_000065,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.4033074676990509
arc_challenge,arc_challenge_train_000038,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.3700629770755768
arc_challenge,arc_challenge_train_000052,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.3642004430294037
arc_challenge,arc_challenge_train_000013,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.3382096588611603
arc_challenge,arc_challenge_train_000007,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.3292446434497833
arc_challenge,arc_challenge_train_000066,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.3205832839012146
arc_challenge,arc_challenge_train_000083,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.30595138669013977
arc_challenge,arc_challenge_train_000047,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.29793402552604675
arc_challenge,arc_challenge_train_000037,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.296668142080307
arc_challenge,arc_challenge_train_000056,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.29145026206970215
arc_challenge,arc_challenge_train_000054,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.2656280994415283
arc_challenge,arc_challenge_train_000053,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.2605038583278656
arc_challenge,arc_challenge_train_000044,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.24932199716567993
arc_challenge,arc_challenge_train_000024,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.24060283601284027
arc_challenge,arc_challenge_train_000028,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.23833003640174866
boolq,boolq_train_000061,boolq,train,google/boolq,scored,surprise,0.9901823401451111
boolq,boolq_train_000036,boolq,train,google/boolq,scored,surprise,0.9784178137779236
boolq,boolq_train_000019,boolq,train,google/boolq,scored,surprise,0.9195833206176758
boolq,boolq_train_000006,boolq,train,google/boolq,scored,surprise,0.8456825017929077
boolq,boolq_train_000011,boolq,train,google/boolq,scored,surprise,0.8365845680236816
boolq,boolq_train_000050,boolq,train,google/boolq,scored,surprise,0.7668027877807617
boolq,boolq_train_000058,boolq,train,google/boolq,scored,surprise,0.762472927570343
boolq,boolq_train_000030,boolq,train,google/boolq,scored,surprise,0.7325864434242249
boolq,boolq_train_000060,boolq,train,google/boolq,scored,surprise,0.7283837795257568
