sample_id,task_name,split,source_dataset,input_text,target_text,token_count,loss,surprise_score,replay_selection_score,replay_selection_strategy,was_selected_for_replay
arc_challenge_train_000098,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: The best example of balanced forces is a
Options:
A. car increasing speed.
B. bus parked in a garage.
C. ball kicked along a flat surface.
D. roller coaster slowing down on an incline.
Answer:",bus parked in a garage.,,,,0.9980990903544188,random,1
arc_challenge_train_000065,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: The water cycle describes the movement of the water of Earth. About 96% of the water of Earth is the salt water found in the oceans while the remaining 4% is fresh water. Where would the majority of the freshwater on Earth be found?
Options:
A. groundwater and aquifers
B. swamps and wetlands
C. ice caps and glaciers
D. lakes and rivers
Answer:",ice caps and glaciers,,,,0.9934199528936174,random,1
arc_challenge_train_000043,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: Which action best models the motion of an arm at the elbow joint?
Options:
A. opening a drawer
B. slicing an apple
C. closing a car door
D. pushing a wheelbarrow
Answer:",closing a car door,,,,0.9780171216726482,random,1
arc_challenge_train_000091,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: Which of the following statements best describes one way that the Moon is different from Earth?
Options:
A. The Moon is not solid.
B. The Moon has no gravity.
C. The Moon has almost no atmosphere.
D. The Moon receives almost no solar light.
Answer:",The Moon has almost no atmosphere.,,,,0.9762159790601642,random,1
arc_challenge_train_000016,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: Joann is testing soils to see which kind is best for growing marigolds. Which of the following should she do?
Options:
A. Plant the marigolds in the same soil, but water some plants more than others.
B. Plant the marigolds in one kind of soil, radishes in another, and daisies in a third kind.
C. Plant the marigolds three kinds of soil, and give them different amounts of sun.
D. Plant the marigolds in three kinds of soil, and give them the same amounts of water and sun.
Answer:","Plant the marigolds in three kinds of soil, and give them the same amounts of water and sun.",,,,0.9666567283549232,random,1
arc_challenge_train_000053,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: Which process is most directly related to constructing new land?
Options:
A. erosion
B. polluting
C. deposition
D. weathering
Answer:",deposition,,,,0.9467597550194289,random,1
arc_challenge_train_000042,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: Secondary succession is a process that reestablishes a previously colonized, but disturbed or damaged habitat. Which will most likely result in colonization by large herbivores and carnivores?
Options:
A. saplings and trees
B. grasses and shrubs
C. lichens and mosses
D. seedlings and bushes
Answer:",saplings and trees,,,,0.9420731998849898,random,1
arc_challenge_train_000099,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: Cindy learned that trees release gases into to the air during photosynthesis. What gas does a tree release?
Options:
A. carbon dioxide
B. hydrogen
C. nitrogen
D. oxygen
Answer:",oxygen,,,,0.9371697683549919,random,1
arc_challenge_train_000007,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: An old T-shirt can be ripped into smaller pieces and used as rags. An empty milk jug can be used to water houseplants. Both of these are examples of how
Options:
A. saving water conserves future resources
B. using old materials can waste money
C. plants need water to be healthy
D. everyday materials can be reused
Answer:",everyday materials can be reused,,,,0.917564324374324,random,1
arc_challenge_train_000050,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: A food chain is shown. Sunlight -> Grass -> Rabbit -> Snake. What is the abiotic factor in this food chain?
Options:
A. Sunlight
B. Grass
C. Rabbit
D. Snake
Answer:",Sunlight,,,,0.9149273799898555,random,1
