after_task,sample_id,task_name,split,source_dataset,replay_mode,replay_selection_strategy,replay_selection_score
sciq,sciq_train_000037,sciq,train,allenai/sciq,scored,surprise,1.1179919242858887
sciq,sciq_train_000010,sciq,train,allenai/sciq,scored,surprise,0.8814204335212708
sciq,sciq_train_000094,sciq,train,allenai/sciq,scored,surprise,0.627144992351532
sciq,sciq_train_000052,sciq,train,allenai/sciq,scored,surprise,0.6172438263893127
sciq,sciq_train_000096,sciq,train,allenai/sciq,scored,surprise,0.4103436768054962
sciq,sciq_train_000030,sciq,train,allenai/sciq,scored,surprise,0.4074838161468506
sciq,sciq_train_000001,sciq,train,allenai/sciq,scored,surprise,0.33041366934776306
sciq,sciq_train_000020,sciq,train,allenai/sciq,scored,surprise,0.3218832314014435
sciq,sciq_train_000074,sciq,train,allenai/sciq,scored,surprise,0.1979369968175888
sciq,sciq_train_000012,sciq,train,allenai/sciq,scored,surprise,0.16729773581027985
sciq,sciq_train_000066,sciq,train,allenai/sciq,scored,surprise,0.1491595059633255
sciq,sciq_train_000089,sciq,train,allenai/sciq,scored,surprise,0.14316187798976898
sciq,sciq_train_000090,sciq,train,allenai/sciq,scored,surprise,0.13331983983516693
sciq,sciq_train_000026,sciq,train,allenai/sciq,scored,surprise,0.13212434947490692
sciq,sciq_train_000017,sciq,train,allenai/sciq,scored,surprise,0.12720495462417603
sciq,sciq_train_000027,sciq,train,allenai/sciq,scored,surprise,0.11568934470415115
sciq,sciq_train_000043,sciq,train,allenai/sciq,scored,surprise,0.10140357911586761
sciq,sciq_train_000055,sciq,train,allenai/sciq,scored,surprise,0.09005709737539291
sciq,sciq_train_000086,sciq,train,allenai/sciq,scored,surprise,0.07216260582208633
sciq,sciq_train_000023,sciq,train,allenai/sciq,scored,surprise,0.05776205286383629
sciq,sciq_train_000042,sciq,train,allenai/sciq,scored,surprise,0.05075571686029434
sciq,sciq_train_000079,sciq,train,allenai/sciq,scored,surprise,0.03527091443538666
sciq,sciq_train_000044,sciq,train,allenai/sciq,scored,surprise,0.03347425162792206
sciq,sciq_train_000041,sciq,train,allenai/sciq,scored,surprise,0.03268224373459816
sciq,sciq_train_000093,sciq,train,allenai/sciq,scored,surprise,0.028929227963089943
sciq,sciq_train_000002,sciq,train,allenai/sciq,scored,surprise,0.02797992341220379
sciq,sciq_train_000036,sciq,train,allenai/sciq,scored,surprise,0.026021569967269897
sciq,sciq_train_000004,sciq,train,allenai/sciq,scored,surprise,0.024668628349900246
sciq,sciq_train_000050,sciq,train,allenai/sciq,scored,surprise,0.024325231090188026
sciq,sciq_train_000016,sciq,train,allenai/sciq,scored,surprise,0.019302943721413612
arc_challenge,arc_challenge_train_000078,arc_challenge,train,allenai/ai2_arc,scored,surprise,2.2141640186309814
arc_challenge,arc_challenge_train_000015,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.4142347574234009
arc_challenge,arc_challenge_train_000001,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.36728376150131226
arc_challenge,arc_challenge_train_000053,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.3321838676929474
arc_challenge,arc_challenge_train_000043,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.33107826113700867
arc_challenge,arc_challenge_train_000074,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.2551511228084564
arc_challenge,arc_challenge_train_000099,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.24963414669036865
arc_challenge,arc_challenge_train_000073,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.20428794622421265
arc_challenge,arc_challenge_train_000047,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.19374032318592072
arc_challenge,arc_challenge_train_000070,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.18701231479644775
arc_challenge,arc_challenge_train_000087,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.18292444944381714
arc_challenge,arc_challenge_train_000051,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.1800699383020401
arc_challenge,arc_challenge_train_000054,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.16073033213615417
arc_challenge,arc_challenge_train_000018,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.1605839729309082
arc_challenge,arc_challenge_train_000061,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.15242353081703186
arc_challenge,arc_challenge_train_000079,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.13914765417575836
arc_challenge,arc_challenge_train_000095,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.10797598212957382
arc_challenge,arc_challenge_train_000040,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.10273965448141098
arc_challenge,arc_challenge_train_000039,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.10048534721136093
arc_challenge,arc_challenge_train_000010,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.08426500111818314
arc_challenge,arc_challenge_train_000027,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.08257674425840378
arc_challenge,arc_challenge_train_000041,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.0591217465698719
arc_challenge,arc_challenge_train_000031,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.050013184547424316
arc_challenge,arc_challenge_train_000062,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.03849118575453758
arc_challenge,arc_challenge_train_000021,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.0348740853369236
arc_challenge,arc_challenge_train_000056,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.0347997322678566
arc_challenge,arc_challenge_train_000065,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.033976659178733826
arc_challenge,arc_challenge_train_000038,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.031192494556307793
arc_challenge,arc_challenge_train_000045,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.029909133911132812
arc_challenge,arc_challenge_train_000009,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.01749156415462494
boolq,boolq_train_000057,boolq,train,google/boolq,scored,surprise,1.6972885131835938
boolq,boolq_train_000044,boolq,train,google/boolq,scored,surprise,1.5396329164505005
boolq,boolq_train_000060,boolq,train,google/boolq,scored,surprise,1.2709667682647705
boolq,boolq_train_000006,boolq,train,google/boolq,scored,surprise,1.2064709663391113
boolq,boolq_train_000036,boolq,train,google/boolq,scored,surprise,1.135419249534607
boolq,boolq_train_000021,boolq,train,google/boolq,scored,surprise,1.1083369255065918
boolq,boolq_train_000058,boolq,train,google/boolq,scored,surprise,1.0980616807937622
