sample_id,task_name,split,source_dataset,input_text,target_text,token_count,epoch,step,loss,surprise_score,replay_selection_strategy,was_added_to_replay_buffer,replay_selection_score
sciq_train_000050,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Different feeding ""positions"" in a food chain or web are associated with what kinds of levels?
Options:
A. autotrophic
B. heptic
C. benthic
D. trophic
Answer:",trophic,4,1,1,3.450906753540039,3.450906753540039,random,0,0.061910330359008725
sciq_train_000079,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Air quality is a measure of what in the air?
Options:
A. pollutants
B. water
C. clouds
D. gases
Answer:",pollutants,2,1,1,7.158679962158203,7.158679962158203,random,0,0.6064359396682929
sciq_train_000012,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Scientists use what scale to illustrate the order in which events on earth have happened?
Options:
A. cataclysmic time scale
B. ecological succession
C. geologic time scale
D. fossil record
Answer:",geologic time scale,5,1,2,4.391053199768066,4.391053199768066,random,0,0.3810613009513235
sciq_train_000070,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What larger theory is einstein's equation part of?
Options:
A. theory of relativity
B. cycle of relativity
C. law of relativity
D. excess of relativity
Answer:",theory of relativity,5,1,2,2.3840997219085693,2.3840997219085693,random,1,0.932749104549424
sciq_train_000027,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is the unit of liquid measurement in the metric system?
Options:
A. gallon
B. liter
C. pint
D. cylinder
Answer:",liter,3,1,3,2.0815515518188477,2.0815515518188477,random,0,0.283575107372961
sciq_train_000052,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What bonds cause water to have a high boiling point, leaving most water on earth in a liquid state rather than in a gaseous state?
Options:
A. carbon bonds
B. potassium bonds
C. hydrogen bonds
D. helium bonds
Answer:",hydrogen bonds,3,1,3,3.551544189453125,3.551544189453125,random,1,0.781862250520653
sciq_train_000094,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is another word for brooding- keeping eggs warm while the embryos develop?
Options:
A. incubation
B. fertilization
C. spawning
D. hibernation
Answer:",incubation,4,1,4,1.7074187994003296,1.7074187994003296,random,0,0.6521590439872441
sciq_train_000020,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What do you call taxes placed on products that produce carbon dioxide?
Options:
A. pollution tax
B. chemical tax
C. carbon taxes
D. emission tax
Answer:",carbon taxes,3,1,4,0.22883804142475128,0.22883804142475128,random,0,0.6786820766642784
sciq_train_000044,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is the process bacteria use to break down chemicals into food?
Options:
A. cellular respiration
B. gametogenesis
C. chemosynthesis
D. biosynthesis
Answer:",chemosynthesis,5,1,5,0.9126300811767578,0.9126300811767578,random,0,0.49287202009874354
sciq_train_000036,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What are the three types of symbiotic relationships?
Options:
A. mutualism, communalism, parasitism
B. symbiosis , communalism , parasitism
C. altruism, conservatism, communalism
D. pledgism, truism, greenism
Answer:","mutualism, communalism, parasitism",11,1,5,1.537387490272522,1.537387490272522,random,0,0.5946891619087629
sciq_train_000049,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is the attachment of ducklings to their mother an example of?
Options:
A. imprinting
B. magnetism
C. impressionism
D. validating
Answer:",imprinting,4,1,6,1.490744709968567,1.490744709968567,random,0,0.07592217878207452
sciq_train_000061,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Hydrocarbons are combined with oxygen in a series of enzymatic steps to product water, carbon dioxide, and energy, which is stored in the form of what?
Options:
A. dormant molecules
B. energy
C. light
D. reactive molecules
Answer:",reactive molecules,3,1,6,1.1794105768203735,1.1794105768203735,random,1,0.881668835270386
sciq_train_000093,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Which class of acids acetic acid (ch 3 cooh) belongs to?
Options:
A. common acids
B. organic acids
C. anorganic acids
D. strong acids
Answer:",organic acids,3,1,7,0.9020929336547852,0.9020929336547852,random,1,0.8242737126665204
sciq_train_000015,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is it called when electrons are shared equally?
Options:
A. nonpolar bonds
B. metabolized bonds
C. polar bonds
D. helices bonds
Answer:",nonpolar bonds,4,1,7,1.2859725952148438,1.2859725952148438,random,0,0.6195339100971368
sciq_train_000011,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is the process called in which living things produce offspring?
Options:
A. photosynthesis
B. diversification
C. variation
D. reproduction
Answer:",reproduction,2,1,8,0.17395450174808502,0.17395450174808502,random,1,0.7696870262609683
sciq_train_000064,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Organic substances, including proteins, carbohydrates, and oils, contain what element?
Options:
A. acid
B. carbon
C. iron
D. oxygen
Answer:",carbon,2,1,8,0.3406197726726532,0.3406197726726532,random,0,0.2073565665063829
sciq_train_000017,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Where is the food stored before being mixed with the chyme?
Options:
A. top of the stomach
B. hemispherical of the stomach
C. fundus of the stomach
D. histopathology of the stomach
Answer:",fundus of the stomach,6,1,9,1.2323464155197144,1.2323464155197144,random,0,0.7537185879720004
sciq_train_000069,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Transporting blood is the main job of the heart and what?
Options:
A. bones
B. areolas
C. blood vessels
D. lymphatic system
Answer:",blood vessels,3,1,9,0.5897873640060425,0.5897873640060425,random,0,0.5632371677709572
sciq_train_000072,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What process tends to be external in aquatic species and internal in terrestrial species?
Options:
A. infection
B. pollination
C. migration
D. fertilization
Answer:",fertilization,3,1,10,0.8853357434272766,0.8853357434272766,random,1,0.9149081418975469
sciq_train_000074,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What can be switched off by a protein called the trp repressor?
Options:
A. the operon
B. the chaperone protein
C. the cytokine
D. the genetic precursor
Answer:",the operon,4,1,10,1.5761159658432007,1.5761159658432007,random,0,0.3032097568404333
sciq_train_000067,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Much of the iron produced is refined and converted into what?
Options:
A. wood
B. plastic
C. sugar
D. steel
Answer:",steel,2,1,11,1.4561415910720825,1.4561415910720825,random,0,0.14422010718201872
sciq_train_000083,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is the ability of an atom to emit charged particles and energy from its nucleus called?
Options:
A. conductivity
B. power
C. accumulation
D. radioactivity
Answer:",radioactivity,3,1,11,2.476504325866699,2.476504325866699,random,0,0.2177782561830287
sciq_train_000054,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Sounds, chemicals, and visual cues are examples of what between animals?
Options:
A. communication
B. migration
C. procreation
D. circulation
Answer:",communication,2,1,12,0.6442916989326477,0.6442916989326477,random,0,0.20143228227193433
sciq_train_000033,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is liquid water falling from the sky called?
Options:
A. clouds
B. snow
C. rain
D. evaporation
Answer:",rain,2,1,12,1.137380838394165,1.137380838394165,random,0,0.3759968909112156
sciq_train_000021,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: G2 and s are phases in what process that is important in cell division?
Options:
A. osmosis
B. cytokinesis
C. mitosis
D. tissues
Answer:",mitosis,5,1,13,1.1190813779830933,1.1190813779830933,random,1,0.8949205079178814
sciq_train_000053,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Which types of compounds are more likely to burn easily?
Options:
A. covalent
B. chlorophyll
C. hydroxyl
D. salty
Answer:",covalent,3,1,13,1.920746922492981,1.920746922492981,random,1,0.7772144746778286
sciq_train_000095,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What type of evolution often happens in species that have symbiotic relationships?
Options:
A. coevolution
B. retrogression
C. succession
D. spontaneous evolution
Answer:",coevolution,4,1,14,1.0002497434616089,1.0002497434616089,random,0,0.4393815129234411
sciq_train_000076,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What process do all species use to make the next generation?
Options:
A. differentiation
B. separation
C. variation
D. reproduction
Answer:",reproduction,2,1,14,0.3195156455039978,0.3195156455039978,random,1,0.8093736351084787
sciq_train_000086,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Plants are complex organisms with tissues organized into what?
Options:
A. systems
B. families
C. organs
D. carbons
Answer:",organs,3,1,15,2.8446767330169678,2.8446767330169678,random,1,0.9912420449124013
sciq_train_000058,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is a collection of lymphatic tissue that combines with epithelial tissue lining the mucosa throughout the body?
Options:
A. mucosa associated lymphoid tissue (malt)
B. cottony associated lymphoid tissue ( malt )
C. unassociated lymphoid tissue
D. spheroids associated lymphoid tissue ( malt )
Answer:",mucosa associated lymphoid tissue (malt),15,1,15,0.5163752436637878,0.5163752436637878,random,0,0.4724003732030789
sciq_train_000040,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Because action potentials are so brief, a neuron can produce hundreds per what?
Options:
A. day
B. minute
C. lifetime
D. second
Answer:",second,2,1,16,1.0280061960220337,1.0280061960220337,random,0,0.25080223274634117
sciq_train_000022,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is the biogeochemical cycle that recycles water called?
Options:
A. water theory
B. water cycle
C. Liquid Cycle
D. Water Table
Answer:",water cycle,3,1,16,0.033293467015028,0.033293467015028,random,0,0.3017194113253129
sciq_train_000082,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What's it called when the reaction is sped up until equilibrium is established?
Options:
A. favoring
B. division
C. pushing
D. limiting
Answer:",favoring,3,1,17,4.226645469665527,4.226645469665527,random,0,0.34348185995444935
sciq_train_000035,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Tendons connecting the scapula to the humerus form what, which is the circle of tendons around the shoulder joint?
Options:
A. wrist cuff
B. thigh cuff
C. rotator cuff
D. knee cuff
Answer:",rotator cuff,7,1,17,0.38727331161499023,0.38727331161499023,random,1,0.7792844686177275
sciq_train_000059,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: The genome of an organism consists of one or more what?
Options:
A. dna molecules
B. require molecules
C. hemoglobin molecules
D. rna molecules
Answer:",dna molecules,6,1,18,0.12126024812459946,0.12126024812459946,random,0,0.026334938333596458
sciq_train_000034,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is another name for collar cells?
Options:
A. clutches
B. enzymes
C. choanocytes
D. sporozoans
Answer:",choanocytes,6,1,18,0.1431683748960495,0.1431683748960495,random,0,0.40226245579352704
sciq_train_000087,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Water behind a dam has potential energy. moving water, such as in a waterfall or a rapidly flowing river, has this?
Options:
A. compression energy
B. kinetic energy
C. residual energy
D. thermal energy
Answer:",kinetic energy,4,1,19,0.9683255553245544,0.9683255553245544,random,1,0.883291420872162
sciq_train_000100,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is the process that allows organisms with better traits to survive and produce?
Options:
A. succession
B. adaptation
C. natural selection
D. spontaneous mutation
Answer:",natural selection,3,1,19,0.882424533367157,0.882424533367157,random,1,0.8389028221399988
sciq_train_000078,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Where are the oceans most polluted?
Options:
A. along reefs
B. in warmer waters
C. on the ocean floor
D. along coasts
Answer:",along coasts,4,1,20,1.7406353950500488,1.7406353950500488,random,0,0.28534250318234744
sciq_train_000063,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What part of an atom is electrically neutral?
Options:
A. neutrons
B. protons
C. electrons
D. newtons
Answer:",neutrons,4,1,20,0.1742689609527588,0.1742689609527588,random,0,0.5150826017791159
sciq_train_000003,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: The process of breaking down food into nutrients is known as __________
Options:
A. energy
B. filtration
C. absorption
D. digestion
Answer:",digestion,2,1,21,0.7112228274345398,0.7112228274345398,random,1,0.8644880645102246
sciq_train_000016,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What do you call aquatic biomes in the ocean?
Options:
A. coastal biomes
B. ocean dwellers
C. marine biomes
D. freshwater biomes
Answer:",marine biomes,4,1,21,0.01684032380580902,0.01684032380580902,random,1,0.9075860427372514
sciq_train_000071,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What simple sugar is the cell's primary source of energy?
Options:
A. nicotine
B. carbon
C. glucose
D. chloride
Answer:",glucose,2,1,22,1.5059895515441895,1.5059895515441895,random,0,0.6073645046728334
sciq_train_000019,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: The conducting zone of the respiratory system includes the organs and structures not directly involved in what?
Options:
A. gas exchange
B. copper exchange
C. gold exchange
D. helium exchange
Answer:",gas exchange,3,1,22,0.4481452703475952,0.4481452703475952,random,1,0.9920970779224388
sciq_train_000045,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Fluoride ion is widely used in water supplies to help prevent what?
Options:
A. tooth decay
B. bacteria
C. rust
D. chlorine taste
Answer:",tooth decay,3,1,23,1.1472848653793335,1.1472848653793335,random,0,0.20595282161728057
sciq_train_000008,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What type of charge does a neutron have?
Options:
A. neutral or no charge
B. half charge
C. positive charge
D. negative charge
Answer:",neutral or no charge,5,1,23,1.189527153968811,1.189527153968811,random,0,0.37612818787029834
sciq_train_000084,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: In the stomach, which material's arrival triggers churning and the release of gastric juices?
Options:
A. acid
B. bile
C. hair
D. food
Answer:",food,2,1,24,1.1190845966339111,1.1190845966339111,random,0,0.514641418972011
sciq_train_000005,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What occurs if oxygen cannot be obtained at a sufficient rate?
Options:
A. aerobic respiration
B. malolactic respiration
C. anaerobic respiration
D. hyperventilation
Answer:",anaerobic respiration,8,1,24,0.6673925518989563,0.6673925518989563,random,0,0.2576202091762402
sciq_train_000096,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Rise divided by run is called what?
Options:
A. slope
B. mound
C. hill
D. steep
Answer:",slope,2,1,25,1.7851169109344482,1.7851169109344482,random,0,0.05800842147081253
sciq_train_000046,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Energy comes in discrete packages called what?
Options:
A. quota
B. quasar
C. quanta
D. quasi
Answer:",quanta,3,1,25,2.7029197216033936,2.7029197216033936,random,1,0.9935450069933002
sciq_train_000010,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: The chemical behavior of elements can largely be explained by what?
Options:
A. chemical configuration
B. electron configurations
C. proton configuration
D. neutron configuration
Answer:",electron configurations,4,1,26,0.8350833058357239,0.8350833058357239,random,0,0.5321083861506979
sciq_train_000073,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Red-green color blindness is an example of a sex-linked condition caused by what?
Options:
A. genetic disorder
B. recessive allele
C. phenotype
D. dominant gene
Answer:",recessive allele,7,1,26,0.19088852405548096,0.19088852405548096,random,0,0.7083048369581434
sciq_train_000057,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What system of the body is generally responsible for breathing?
Options:
A. integumentary
B. cardiac
C. respiratory system
D. excretory
Answer:",respiratory system,3,1,27,0.39924660325050354,0.39924660325050354,random,1,0.8134898984031741
