after_task,sample_id,task_name,split,source_dataset,replay_mode,replay_selection_strategy,replay_selection_score
sciq,sciq_train_000001,sciq,train,allenai/sciq,scored,surprise,3.0064046382904053
sciq,sciq_train_000026,sciq,train,allenai/sciq,scored,surprise,2.4088311195373535
sciq,sciq_train_000097,sciq,train,allenai/sciq,scored,surprise,2.1394166946411133
sciq,sciq_train_000073,sciq,train,allenai/sciq,scored,surprise,1.7525317668914795
sciq,sciq_train_000098,sciq,train,allenai/sciq,scored,surprise,1.4597172737121582
sciq,sciq_train_000082,sciq,train,allenai/sciq,scored,surprise,1.4060288667678833
sciq,sciq_train_000032,sciq,train,allenai/sciq,scored,surprise,1.3109359741210938
sciq,sciq_train_000083,sciq,train,allenai/sciq,scored,surprise,1.0498830080032349
sciq,sciq_train_000052,sciq,train,allenai/sciq,scored,surprise,1.025881290435791
sciq,sciq_train_000003,sciq,train,allenai/sciq,scored,surprise,0.8994224667549133
sciq,sciq_train_000096,sciq,train,allenai/sciq,scored,surprise,0.8118612766265869
sciq,sciq_train_000010,sciq,train,allenai/sciq,scored,surprise,0.7560908794403076
sciq,sciq_train_000043,sciq,train,allenai/sciq,scored,surprise,0.7405805587768555
sciq,sciq_train_000084,sciq,train,allenai/sciq,scored,surprise,0.7108922004699707
sciq,sciq_train_000080,sciq,train,allenai/sciq,scored,surprise,0.6850531101226807
sciq,sciq_train_000046,sciq,train,allenai/sciq,scored,surprise,0.6251121759414673
sciq,sciq_train_000028,sciq,train,allenai/sciq,scored,surprise,0.5299374461174011
sciq,sciq_train_000087,sciq,train,allenai/sciq,scored,surprise,0.5073496699333191
sciq,sciq_train_000036,sciq,train,allenai/sciq,scored,surprise,0.41119325160980225
sciq,sciq_train_000013,sciq,train,allenai/sciq,scored,surprise,0.3732622265815735
sciq,sciq_train_000035,sciq,train,allenai/sciq,scored,surprise,0.3440551459789276
sciq,sciq_train_000031,sciq,train,allenai/sciq,scored,surprise,0.3410947024822235
sciq,sciq_train_000072,sciq,train,allenai/sciq,scored,surprise,0.3278554379940033
sciq,sciq_train_000009,sciq,train,allenai/sciq,scored,surprise,0.3198007047176361
sciq,sciq_train_000044,sciq,train,allenai/sciq,scored,surprise,0.3161526322364807
sciq,sciq_train_000041,sciq,train,allenai/sciq,scored,surprise,0.30608731508255005
sciq,sciq_train_000017,sciq,train,allenai/sciq,scored,surprise,0.3030116558074951
sciq,sciq_train_000093,sciq,train,allenai/sciq,scored,surprise,0.2999270260334015
sciq,sciq_train_000090,sciq,train,allenai/sciq,scored,surprise,0.2958742082118988
sciq,sciq_train_000004,sciq,train,allenai/sciq,scored,surprise,0.29432493448257446
arc_challenge,arc_challenge_train_000082,arc_challenge,train,allenai/ai2_arc,scored,surprise,2.8429267406463623
arc_challenge,arc_challenge_train_000070,arc_challenge,train,allenai/ai2_arc,scored,surprise,2.3003246784210205
arc_challenge,arc_challenge_train_000005,arc_challenge,train,allenai/ai2_arc,scored,surprise,1.817491888999939
arc_challenge,arc_challenge_train_000020,arc_challenge,train,allenai/ai2_arc,scored,surprise,1.0736221075057983
arc_challenge,arc_challenge_train_000062,arc_challenge,train,allenai/ai2_arc,scored,surprise,1.0183197259902954
arc_challenge,arc_challenge_train_000084,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.9678544402122498
arc_challenge,arc_challenge_train_000038,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.835288941860199
arc_challenge,arc_challenge_train_000017,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.8192133903503418
arc_challenge,arc_challenge_train_000086,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.8068988919258118
arc_challenge,arc_challenge_train_000076,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.6554574966430664
arc_challenge,arc_challenge_train_000013,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.6061115264892578
arc_challenge,arc_challenge_train_000052,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.5530694127082825
arc_challenge,arc_challenge_train_000006,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.4771439731121063
arc_challenge,arc_challenge_train_000065,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.4496804177761078
arc_challenge,arc_challenge_train_000001,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.4219151437282562
arc_challenge,arc_challenge_train_000094,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.38099339604377747
arc_challenge,arc_challenge_train_000039,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.35586389899253845
arc_challenge,arc_challenge_train_000091,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.32640692591667175
arc_challenge,arc_challenge_train_000053,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.3255244493484497
arc_challenge,arc_challenge_train_000036,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.3017410635948181
arc_challenge,arc_challenge_train_000002,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.3006495535373688
arc_challenge,arc_challenge_train_000043,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.2931883633136749
arc_challenge,arc_challenge_train_000014,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.29083845019340515
arc_challenge,arc_challenge_train_000054,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.2680233120918274
arc_challenge,arc_challenge_train_000045,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.264579176902771
arc_challenge,arc_challenge_train_000037,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.2634110748767853
arc_challenge,arc_challenge_train_000098,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.22097347676753998
arc_challenge,arc_challenge_train_000097,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.21615971624851227
arc_challenge,arc_challenge_train_000029,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.20985454320907593
arc_challenge,arc_challenge_train_000003,arc_challenge,train,allenai/ai2_arc,scored,surprise,0.2031596601009369
boolq,boolq_train_000057,boolq,train,google/boolq,scored,surprise,1.4372358322143555
boolq,boolq_train_000030,boolq,train,google/boolq,scored,surprise,1.3140383958816528
boolq,boolq_train_000019,boolq,train,google/boolq,scored,surprise,1.282894492149353
boolq,boolq_train_000011,boolq,train,google/boolq,scored,surprise,1.0665233135223389
boolq,boolq_train_000044,boolq,train,google/boolq,scored,surprise,1.054287314414978
boolq,boolq_train_000050,boolq,train,google/boolq,scored,surprise,1.0454238653182983
boolq,boolq_train_000048,boolq,train,google/boolq,scored,surprise,1.0187807083129883
boolq,boolq_train_000060,boolq,train,google/boolq,scored,surprise,0.9858142137527466
boolq,boolq_train_000061,boolq,train,google/boolq,scored,surprise,0.9764716625213623
boolq,boolq_train_000074,boolq,train,google/boolq,scored,surprise,0.9502313137054443
boolq,boolq_train_000079,boolq,train,google/boolq,scored,surprise,0.9409475326538086
boolq,boolq_train_000051,boolq,train,google/boolq,scored,surprise,0.924316942691803
boolq,boolq_train_000065,boolq,train,google/boolq,scored,surprise,0.91706383228302
boolq,boolq_train_000036,boolq,train,google/boolq,scored,surprise,0.909882664680481
