sample_id,task_name,split,source_dataset,input_text,target_text,token_count,epoch,step,loss,surprise_score,replay_selection_strategy,was_added_to_replay_buffer,replay_selection_score
arc_challenge_train_000013,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: What is the frequency of ocean waves that have a speed of 18 m/s and a wavelength of 50 m?
Options:
A. 0.18 Hz
B. 0.36 Hz
C. 2.8 Hz
D. 9.0 Hz
Answer:",0.36 Hz,5,1,1,0.4859679341316223,0.4859679341316223,random,1,0.9598115281018489
arc_challenge_train_000001,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: Photosynthesis is a process involving carbon dioxide, water, glucose, oxygen, and sunlight. Which is the correct chemical equation for photosynthesis?
Options:
A. O_{2} + H_{2}O + energy -> C_{6}H_{12}O_{6} + CO_{2}
B. CO_{2} + H_{2}O -> C_{6}H_{6}O_{3} + O_{2} + energy
C. 6O_{2} + 6H_{2}O -> C_{6}H_{12}O_{6} + 6CO_{2} + energy
D. 6CO_{2} + 6H_{2}O + energy -> C_{6}H_{12}O_{6} + 6O_{2}
Answer:",6CO_{2} + 6H_{2}O + energy -> C_{6}H_{12}O_{6} + 6O_{2},32,1,2,0.795626163482666,0.795626163482666,random,0,0.6701308314096563
arc_challenge_train_000002,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: A ship leaks a large amount of oil near a coastal area. Which statement describes how the oil most likely will affect the coastal habitat?
Options:
A. Fish reproduction rates will increase.
B. Water birds will be unable to use their wings.
C. Water plants will be exposed to more sunlight.
D. Coastal plants will have access to more nutrients.
Answer:",Water birds will be unable to use their wings.,12,1,2,1.6937131881713867,1.6937131881713867,random,0,0.03133291315078779
arc_challenge_train_000032,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: Dr. Tanaka discovered a new virus. The virus has a single strand of a nucleic acid, but she does not know if it is DNA or RNA. After running tests, she concludes that it is DNA. Which of the following would lead her to that conclusion?
Options:
A. It contains uracil.
B. It contains adenine.
C. It contains thymine.
D. It contains cytosine.
Answer:",It contains thymine.,8,1,3,0.8514994382858276,0.8514994382858276,random,0,0.11158173165710628
arc_challenge_train_000010,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: The following mathematical expressions represent four different concentrations of a chemical solution to be used in a science experiment. Which one is equal in magnitude to 1/1000?
Options:
A. 1.0 x 10^3
B. 1.0 x 10^4
C. 1.0 x 10^-3
D. 1.0 x 10^-4
Answer:",1.0 x 10^-3,8,1,3,1.1533896923065186,1.1533896923065186,random,0,0.18392451177299218
arc_challenge_train_000093,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: Which mass is undergoing the greatest amount of acceleration?
Options:
A. 1 kg subjected to a force of 1 N
B. 1 kg subjected to a force of 100 N
C. 100 kg subjected to a force of 1 N
D. 100 kg subjected to a force of 100 N
Answer:",1 kg subjected to a force of 100 N,13,1,4,0.7685611248016357,0.7685611248016357,random,1,0.8372514653000976
arc_challenge_train_000070,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: A statue and a table are both made of the same type of marble. Which of the following properties will most likely be the same for both of these objects?
Options:
A. size
B. shape
C. weight
D. hardness
Answer:",hardness,3,1,4,0.9046100974082947,0.9046100974082947,random,0,0.6010355779533757
arc_challenge_train_000046,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: After a soccer game, Brittany sat under a fan because she was hot. Under the fan, she felt cooler than before. Which explains why Brittany felt cooler under the fan?
Options:
A. Air moving under the fan is cooler than air that is still.
B. The evaporation of sweat absorbs heat from the skin.
C. Water vapor from the fan condenses on the skin.
D. The fan speeds convection currents in the air.
Answer:",The evaporation of sweat absorbs heat from the skin.,15,1,5,0.31866976618766785,0.31866976618766785,random,0,0.002823094966648232
arc_challenge_train_000003,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: Two students are asked to make a chart on the electromagnetic spectrum. Reading left to right, one student's chart shows the spectrum from gamma rays to radio waves, while the other student's chart shows the opposite. If the teacher says that both charts are correct, then
Options:
A. it does not matter how the students label their charts.
B. there are multiple ways to organize information.
C. the waves have the same properties.
D. the students are being encouraged to do their work.
Answer:",there are multiple ways to organize information.,9,1,5,0.1334361732006073,0.1334361732006073,random,0,0.503361510727674
arc_challenge_train_000052,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: All of the following are part of an animal life cycle except
Options:
A. growth.
B. fertilization.
C. binary fission.
D. gamete development.
Answer:",binary fission.,6,1,6,1.1151267290115356,1.1151267290115356,random,0,0.14756157431116457
