sample_id,task_name,split,source_dataset,input_text,target_text,token_count,loss,surprise_score,replay_selection_score,replay_selection_strategy,was_selected_for_replay
sciq_train_000001,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Virtually every task performed by living organisms requires this?
Options:
A. energy
B. metals
C. solids
D. mineral
Answer:",energy,2,0.33041366934776306,0.33041366934776306,0.33041366934776306,surprise,1
sciq_train_000002,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What term is used to describe when a liquid is the temperature at which its equilibrium vapor pressure is equal to the pressure exerted on the liquid by its gaseous surroundings?
Options:
A. freezing point
B. evaporating point
C. burning point
D. boiling point
Answer:",boiling point,3,0.02797992341220379,0.02797992341220379,0.02797992341220379,surprise,1
sciq_train_000003,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: The process of breaking down food into nutrients is known as __________
Options:
A. energy
B. filtration
C. absorption
D. digestion
Answer:",digestion,2,0.00015256463666446507,0.00015256463666446507,0.00015256463666446507,surprise,0
sciq_train_000004,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is the branch of science that studies the physical world?
Options:
A. Ecology
B. botany
C. physics
D. social science
Answer:",physics,3,0.024668628349900246,0.024668628349900246,0.024668628349900246,surprise,1
sciq_train_000005,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What occurs if oxygen cannot be obtained at a sufficient rate?
Options:
A. aerobic respiration
B. malolactic respiration
C. anaerobic respiration
D. hyperventilation
Answer:",anaerobic respiration,8,0.001741823391057551,0.001741823391057551,0.001741823391057551,surprise,0
sciq_train_000006,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What kind of reactions are involved in processes ranging from the contraction of muscles to the digestion of food?
Options:
A. liquid
B. mineral
C. atomical
D. chemical
Answer:",chemical,2,0.0032518478110432625,0.0032518478110432625,0.0032518478110432625,surprise,0
sciq_train_000007,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What part of the heart receives the blood is pumped from veins of the systemic circuit?
Options:
A. right atrium
B. left atrium
C. right ventricle
D. left ventricle
Answer:",right atrium,4,0.0043332623317837715,0.0043332623317837715,0.0043332623317837715,surprise,0
sciq_train_000008,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What type of charge does a neutron have?
Options:
A. neutral or no charge
B. half charge
C. positive charge
D. negative charge
Answer:",neutral or no charge,5,0.01249158475548029,0.01249158475548029,0.01249158475548029,surprise,0
sciq_train_000009,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What are prokaryotic cells filled with?
Options:
A. chlorophyll
B. cytoplasm
C. protein
D. rna
Answer:",cytoplasm,4,0.004803165793418884,0.004803165793418884,0.004803165793418884,surprise,0
sciq_train_000010,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: The chemical behavior of elements can largely be explained by what?
Options:
A. chemical configuration
B. electron configurations
C. proton configuration
D. neutron configuration
Answer:",electron configurations,4,0.8814204335212708,0.8814204335212708,0.8814204335212708,surprise,1
sciq_train_000011,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is the process called in which living things produce offspring?
Options:
A. photosynthesis
B. diversification
C. variation
D. reproduction
Answer:",reproduction,2,0.0013040590565651655,0.0013040590565651655,0.0013040590565651655,surprise,0
sciq_train_000012,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Scientists use what scale to illustrate the order in which events on earth have happened?
Options:
A. cataclysmic time scale
B. ecological succession
C. geologic time scale
D. fossil record
Answer:",geologic time scale,5,0.16729773581027985,0.16729773581027985,0.16729773581027985,surprise,1
sciq_train_000013,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What type of tissue runs the length of a stem in vascular bundles?
Options:
A. muscle tissue
B. thermal tissue
C. vascular tissue
D. cardiac tissue
Answer:",vascular tissue,4,0.015571635216474533,0.015571635216474533,0.015571635216474533,surprise,0
sciq_train_000014,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is it called when plant roots absorb liquid water and release water vapor into the atmosphere?
Options:
A. perspiration
B. transpiration
C. sedimentation
D. evaporation
Answer:",transpiration,3,3.5205284802941605e-05,3.5205284802941605e-05,3.5205284802941605e-05,surprise,0
sciq_train_000015,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is it called when electrons are shared equally?
Options:
A. nonpolar bonds
B. metabolized bonds
C. polar bonds
D. helices bonds
Answer:",nonpolar bonds,4,0.008016988635063171,0.008016988635063171,0.008016988635063171,surprise,0
sciq_train_000016,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What do you call aquatic biomes in the ocean?
Options:
A. coastal biomes
B. ocean dwellers
C. marine biomes
D. freshwater biomes
Answer:",marine biomes,4,0.019302943721413612,0.019302943721413612,0.019302943721413612,surprise,1
sciq_train_000017,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Where is the food stored before being mixed with the chyme?
Options:
A. top of the stomach
B. hemispherical of the stomach
C. fundus of the stomach
D. histopathology of the stomach
Answer:",fundus of the stomach,6,0.12720495462417603,0.12720495462417603,0.12720495462417603,surprise,1
sciq_train_000018,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What kind of reproduction results in offspring that are generally all genetically different?
Options:
A. asexual
B. sexual
C. individual
D. perceptual
Answer:",sexual,2,0.004612290300428867,0.004612290300428867,0.004612290300428867,surprise,0
sciq_train_000019,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: The conducting zone of the respiratory system includes the organs and structures not directly involved in what?
Options:
A. gas exchange
B. copper exchange
C. gold exchange
D. helium exchange
Answer:",gas exchange,3,0.00021883990848436952,0.00021883990848436952,0.00021883990848436952,surprise,0
sciq_train_000020,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What do you call taxes placed on products that produce carbon dioxide?
Options:
A. pollution tax
B. chemical tax
C. carbon taxes
D. emission tax
Answer:",carbon taxes,3,0.3218832314014435,0.3218832314014435,0.3218832314014435,surprise,1
