sample_id,task_name,split,source_dataset,input_text,target_text,token_count,loss,surprise_score,replay_selection_score,replay_selection_strategy,was_selected_for_replay
sciq_train_000039,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is the study of forces in equilibrium?
Options:
A. law of inertia
B. genomics
C. statics
D. law of conservation
Answer:",statics,,,,0.9957958982958577,random,1
sciq_train_000046,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Energy comes in discrete packages called what?
Options:
A. quota
B. quasar
C. quanta
D. quasi
Answer:",quanta,,,,0.9935450069933002,random,1
sciq_train_000019,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: The conducting zone of the respiratory system includes the organs and structures not directly involved in what?
Options:
A. gas exchange
B. copper exchange
C. gold exchange
D. helium exchange
Answer:",gas exchange,,,,0.9920970779224388,random,1
sciq_train_000086,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Plants are complex organisms with tissues organized into what?
Options:
A. systems
B. families
C. organs
D. carbons
Answer:",organs,,,,0.9912420449124013,random,1
sciq_train_000026,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Many cancers, as well as autism, are thought to have what component, which is certainly a factor in asthma?
Options:
A. ecological
B. critical
C. emotional
D. environmental
Answer:",environmental,,,,0.9889977542051468,random,1
sciq_train_000056,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Compared with the molecules of many other substances, molecules of water are strongly attracted to what?
Options:
A. hydrogen
B. each other
C. helium
D. nothing
Answer:",each other,,,,0.9869133572167849,random,1
sciq_train_000062,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Which type of tree loses its leaves each fall and remains leafless in the winter?
Options:
A. conifer
B. annual
C. deciduous
D. perennial
Answer:",deciduous,,,,0.9681480742807919,random,1
sciq_train_000037,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Hydras and sea anemones are examples of what form?
Options:
A. polyp
B. anemone
C. node
D. lesions
Answer:",polyp,,,,0.9660689693524828,random,1
sciq_train_000077,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What term means a representation of an object, system, or process?
Options:
A. icon
B. pattern
C. model
D. presentation
Answer:",model,,,,0.9428021066833233,random,1
sciq_train_000070,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What larger theory is einstein's equation part of?
Options:
A. theory of relativity
B. cycle of relativity
C. law of relativity
D. excess of relativity
Answer:",theory of relativity,,,,0.932749104549424,random,1
sciq_train_000072,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What process tends to be external in aquatic species and internal in terrestrial species?
Options:
A. infection
B. pollination
C. migration
D. fertilization
Answer:",fertilization,,,,0.9149081418975469,random,1
sciq_train_000014,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is it called when plant roots absorb liquid water and release water vapor into the atmosphere?
Options:
A. perspiration
B. transpiration
C. sedimentation
D. evaporation
Answer:",transpiration,,,,0.9081471255324411,random,1
sciq_train_000016,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What do you call aquatic biomes in the ocean?
Options:
A. coastal biomes
B. ocean dwellers
C. marine biomes
D. freshwater biomes
Answer:",marine biomes,,,,0.9075860427372514,random,1
sciq_train_000021,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: G2 and s are phases in what process that is important in cell division?
Options:
A. osmosis
B. cytokinesis
C. mitosis
D. tissues
Answer:",mitosis,,,,0.8949205079178814,random,1
