sample_id,task_name,split,source_dataset,input_text,target_text,token_count,loss,surprise_score,replay_selection_score,replay_selection_strategy,was_selected_for_replay
sciq_train_000001,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Virtually every task performed by living organisms requires this?
Options:
A. energy
B. metals
C. solids
D. mineral
Answer:",energy,2,2.0997447967529297,2.0997447967529297,0.8942795361366948,predicted_utility,1
sciq_train_000002,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What term is used to describe when a liquid is the temperature at which its equilibrium vapor pressure is equal to the pressure exerted on the liquid by its gaseous surroundings?
Options:
A. freezing point
B. evaporating point
C. burning point
D. boiling point
Answer:",boiling point,3,0.07879018783569336,0.07879018783569336,0.40547809104297944,predicted_utility,0
sciq_train_000003,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: The process of breaking down food into nutrients is known as __________
Options:
A. energy
B. filtration
C. absorption
D. digestion
Answer:",digestion,2,0.00038591944030486047,0.00038591944030486047,0.399917688359017,predicted_utility,0
sciq_train_000004,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is the branch of science that studies the physical world?
Options:
A. Ecology
B. botany
C. physics
D. social science
Answer:",physics,3,0.617508590221405,0.617508590221405,0.566936957192641,predicted_utility,1
sciq_train_000005,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What occurs if oxygen cannot be obtained at a sufficient rate?
Options:
A. aerobic respiration
B. malolactic respiration
C. anaerobic respiration
D. hyperventilation
Answer:",anaerobic respiration,8,0.17274442315101624,0.17274442315101624,0.3479915674795103,predicted_utility,0
sciq_train_000006,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What kind of reactions are involved in processes ranging from the contraction of muscles to the digestion of food?
Options:
A. liquid
B. mineral
C. atomical
D. chemical
Answer:",chemical,2,0.12731334567070007,0.12731334567070007,0.4372876633546542,predicted_utility,0
sciq_train_000007,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What part of the heart receives the blood is pumped from veins of the systemic circuit?
Options:
A. right atrium
B. left atrium
C. right ventricle
D. left ventricle
Answer:",right atrium,4,0.6068704128265381,0.6068704128265381,0.5460458405940246,predicted_utility,1
sciq_train_000008,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What type of charge does a neutron have?
Options:
A. neutral or no charge
B. half charge
C. positive charge
D. negative charge
Answer:",neutral or no charge,5,0.40589141845703125,0.40589141845703125,0.4674618871402669,predicted_utility,1
sciq_train_000009,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What are prokaryotic cells filled with?
Options:
A. chlorophyll
B. cytoplasm
C. protein
D. rna
Answer:",cytoplasm,4,0.09233579784631729,0.09233579784631729,0.39219923522827616,predicted_utility,0
sciq_train_000010,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: The chemical behavior of elements can largely be explained by what?
Options:
A. chemical configuration
B. electron configurations
C. proton configuration
D. neutron configuration
Answer:",electron configurations,4,0.2537290155887604,0.2537290155887604,0.43961379634174597,predicted_utility,0
sciq_train_000011,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is the process called in which living things produce offspring?
Options:
A. photosynthesis
B. diversification
C. variation
D. reproduction
Answer:",reproduction,2,0.00320203579030931,0.00320203579030931,0.40073596953243357,predicted_utility,0
sciq_train_000012,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Scientists use what scale to illustrate the order in which events on earth have happened?
Options:
A. cataclysmic time scale
B. ecological succession
C. geologic time scale
D. fossil record
Answer:",geologic time scale,5,0.47943979501724243,0.47943979501724243,0.4896727306724302,predicted_utility,1
