after_task,sample_id,task_name,split,source_dataset,replay_mode,replay_selection_strategy,replay_selection_score
sciq,sciq_train_000039,sciq,train,allenai/sciq,random,random,0.9957958982958577
sciq,sciq_train_000046,sciq,train,allenai/sciq,random,random,0.9935450069933002
sciq,sciq_train_000019,sciq,train,allenai/sciq,random,random,0.9920970779224388
sciq,sciq_train_000086,sciq,train,allenai/sciq,random,random,0.9912420449124013
sciq,sciq_train_000026,sciq,train,allenai/sciq,random,random,0.9889977542051468
sciq,sciq_train_000056,sciq,train,allenai/sciq,random,random,0.9869133572167849
sciq,sciq_train_000062,sciq,train,allenai/sciq,random,random,0.9681480742807919
sciq,sciq_train_000037,sciq,train,allenai/sciq,random,random,0.9660689693524828
sciq,sciq_train_000077,sciq,train,allenai/sciq,random,random,0.9428021066833233
sciq,sciq_train_000070,sciq,train,allenai/sciq,random,random,0.932749104549424
sciq,sciq_train_000072,sciq,train,allenai/sciq,random,random,0.9149081418975469
sciq,sciq_train_000014,sciq,train,allenai/sciq,random,random,0.9081471255324411
sciq,sciq_train_000016,sciq,train,allenai/sciq,random,random,0.9075860427372514
sciq,sciq_train_000021,sciq,train,allenai/sciq,random,random,0.8949205079178814
sciq,sciq_train_000087,sciq,train,allenai/sciq,random,random,0.883291420872162
sciq,sciq_train_000061,sciq,train,allenai/sciq,random,random,0.881668835270386
sciq,sciq_train_000075,sciq,train,allenai/sciq,random,random,0.8673753576814278
sciq,sciq_train_000003,sciq,train,allenai/sciq,random,random,0.8644880645102246
sciq,sciq_train_000043,sciq,train,allenai/sciq,random,random,0.8581119288632092
sciq,sciq_train_000031,sciq,train,allenai/sciq,random,random,0.8519663530905581
sciq,sciq_train_000100,sciq,train,allenai/sciq,random,random,0.8389028221399988
sciq,sciq_train_000090,sciq,train,allenai/sciq,random,random,0.8334448337274794
sciq,sciq_train_000093,sciq,train,allenai/sciq,random,random,0.8242737126665204
sciq,sciq_train_000057,sciq,train,allenai/sciq,random,random,0.8134898984031741
sciq,sciq_train_000076,sciq,train,allenai/sciq,random,random,0.8093736351084787
sciq,sciq_train_000013,sciq,train,allenai/sciq,random,random,0.7818883112668329
sciq,sciq_train_000052,sciq,train,allenai/sciq,random,random,0.781862250520653
sciq,sciq_train_000035,sciq,train,allenai/sciq,random,random,0.7792844686177275
sciq,sciq_train_000053,sciq,train,allenai/sciq,random,random,0.7772144746778286
sciq,sciq_train_000011,sciq,train,allenai/sciq,random,random,0.7696870262609683
arc_challenge,arc_challenge_train_000007,arc_challenge,train,allenai/ai2_arc,random,random,0.9918759825291714
arc_challenge,arc_challenge_train_000053,arc_challenge,train,allenai/ai2_arc,random,random,0.9888903750915685
arc_challenge,arc_challenge_train_000024,arc_challenge,train,allenai/ai2_arc,random,random,0.9782841104833293
arc_challenge,arc_challenge_train_000080,arc_challenge,train,allenai/ai2_arc,random,random,0.973769846867504
arc_challenge,arc_challenge_train_000076,arc_challenge,train,allenai/ai2_arc,random,random,0.9699170216252652
arc_challenge,arc_challenge_train_000088,arc_challenge,train,allenai/ai2_arc,random,random,0.9607203521883829
arc_challenge,arc_challenge_train_000013,arc_challenge,train,allenai/ai2_arc,random,random,0.9598115281018489
arc_challenge,arc_challenge_train_000009,arc_challenge,train,allenai/ai2_arc,random,random,0.9538856027425617
arc_challenge,arc_challenge_train_000068,arc_challenge,train,allenai/ai2_arc,random,random,0.9506521484767033
arc_challenge,arc_challenge_train_000091,arc_challenge,train,allenai/ai2_arc,random,random,0.9476164837525928
arc_challenge,arc_challenge_train_000073,arc_challenge,train,allenai/ai2_arc,random,random,0.9359022819981213
arc_challenge,arc_challenge_train_000099,arc_challenge,train,allenai/ai2_arc,random,random,0.8873489305497251
arc_challenge,arc_challenge_train_000075,arc_challenge,train,allenai/ai2_arc,random,random,0.8854938079909035
arc_challenge,arc_challenge_train_000027,arc_challenge,train,allenai/ai2_arc,random,random,0.8810262479184668
arc_challenge,arc_challenge_train_000038,arc_challenge,train,allenai/ai2_arc,random,random,0.8793389548919132
arc_challenge,arc_challenge_train_000081,arc_challenge,train,allenai/ai2_arc,random,random,0.8761828712446728
arc_challenge,arc_challenge_train_000012,arc_challenge,train,allenai/ai2_arc,random,random,0.8700278243027387
arc_challenge,arc_challenge_train_000018,arc_challenge,train,allenai/ai2_arc,random,random,0.8670623913912328
arc_challenge,arc_challenge_train_000063,arc_challenge,train,allenai/ai2_arc,random,random,0.8515495746010667
arc_challenge,arc_challenge_train_000035,arc_challenge,train,allenai/ai2_arc,random,random,0.8493622348977922
arc_challenge,arc_challenge_train_000093,arc_challenge,train,allenai/ai2_arc,random,random,0.8372514653000976
