sample_id,task_name,split,source_dataset,input_text,target_text,token_count,early_loss,surprise_score,replay_selection_score,was_selected_for_replay,utility_label,utility_score,label_method
arc_challenge_train_000059,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: Which fact about water is an example of a chemical property?
Options:
A. Water expands when it freezes.
B. The boiling point of water is 100ºC.
C. Water can separate into hydrogen and oxygen.
D. The density of water is greater than the density of ice.
Answer:",Water can separate into hydrogen and oxygen.,9,1.893654465675354,0.0178075078874826,0.0178075078874826,0,0,0.0178075078874826,proxy_replay_selection_v1
arc_challenge_train_000071,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: What is the source of fuels such as coal and natural gas?
Options:
A. once-living organisms
B. cold-water oceans
C. erupting volcanoes
D. forest fires
Answer:",once-living organisms,6,0.7391695380210876,0.0003909913357347,0.0003909913357347,0,0,0.0003909913357347,proxy_replay_selection_v1
arc_challenge_train_000005,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: Puddles on a sidewalk are evaporating quickly. What most likely causes the puddles to evaporate?
Options:
A. heat
B. clouds
C. air
D. water
Answer:",heat,2,1.2956650257110596,0.0025921671185642,0.0025921671185642,0,0,0.0025921671185642,proxy_replay_selection_v1
arc_challenge_train_000045,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: Sodium, Na, is in the same group as
Options:
A. Ne.
B. Mg.
C. Ca.
D. K.
Answer:",K.,3,3.8412482738494873,0.0124609181657433,0.0124609181657433,0,0,0.0124609181657433,proxy_replay_selection_v1
arc_challenge_train_000068,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: A student blew air into a beach ball and sealed it. She then pushed on the middle of the beach ball. What happened to the air inside the beach ball?
Options:
A. The air in the beach ball escaped.
B. The air in the beach ball became a liquid.
C. The type of air in the beach ball changed.
D. The shape of the air in the beach ball changed.
Answer:",The shape of the air in the beach ball changed.,12,0.925403892993927,0.000407216604799,0.000407216604799,0,0,0.000407216604799,proxy_replay_selection_v1
arc_challenge_train_000055,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: In a comparison of metals to nonmetals, metals tend to have
Options:
A. lower melting points and greater conductivity than nonmetals.
B. lower conductivity and lower density than nonmetals.
C. higher density and lower melting points than nonmetals.
D. greater conductivity and higher melting points than nonmetals.
Answer:",greater conductivity and higher melting points than nonmetals.,13,1.1946195363998413,0.0559901669621467,0.0559901669621467,0,0,0.0559901669621467,proxy_replay_selection_v1
arc_challenge_train_000040,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: A pesticide gets into the waters of the Everglades and wipes out many of the fish, amphibian and bird populations on which alligators depend for food. Which change would most likely occur among the alligator population?
Options:
A. increase in the reproduction rate
B. decrease in the number of alligator deaths
C. increase in aggression between individuals
D. decrease in the number of alligators migrating
Answer:",increase in aggression between individuals,6,0.3972655534744262,0.2133110612630844,0.2133110612630844,0,0,0.2133110612630844,proxy_replay_selection_v1
arc_challenge_train_000080,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: Chris left a glass of water on a windowsill. When he looked at the glass a few days later, some of the water had evaporated. Which of the following best describes what happened to the particles of water that evaporated?
Options:
A. They became larger in size.
B. They spread out into the air.
C. They were absorbed by the glass.
D. They passed through the glass into the air.
Answer:",They spread out into the air.,8,0.2800981402397156,0.0004078093043062,0.0004078093043062,0,0,0.0004078093043062,proxy_replay_selection_v1
arc_challenge_train_000026,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: Students dropped different rocks into sand to simulate meteorite impacts. Their goal was to determine which rock made the deepest crater. Which variable should the students control in order to have the most accurate results?
Options:
A. the height from which the rocks are dropped
B. the average time it takes the rocks to fall
C. the density of the rocks
D. the mass of the rocks
Answer:",the height from which the rocks are dropped,9,0.6724717617034912,0.0044091544114053,0.0044091544114053,0,0,0.0044091544114053,proxy_replay_selection_v1
arc_challenge_train_000013,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: What is the frequency of ocean waves that have a speed of 18 m/s and a wavelength of 50 m?
Options:
A. 0.18 Hz
B. 0.36 Hz
C. 2.8 Hz
D. 9.0 Hz
Answer:",0.36 Hz,5,0.4261574149131775,0.0024183737114071,0.0024183737114071,0,0,0.0024183737114071,proxy_replay_selection_v1
