sample_id,task_name,split,source_dataset,input_text,target_text,token_count,epoch,step,loss,surprise_score,replay_selection_strategy,was_added_to_replay_buffer,replay_selection_score
arc_challenge_train_000079,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: Scientists claim that the continents of South America and Africa were once a single landmass. All of the following observations support this claim except
Options:
A. the mountains on these continents have similar rocks of the same age.
B. these continents appear to fit together like the pieces of a puzzle.
C. similar fish live in the ocean off the coasts of these continents.
D. the same kinds of fossils have been found on these continents.
Answer:",similar fish live in the ocean off the coasts of these continents.,16,1,1,0.5049177408218384,0.13914765417575836,surprise,1,0.13914765417575836
arc_challenge_train_000046,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: After a soccer game, Brittany sat under a fan because she was hot. Under the fan, she felt cooler than before. Which explains why Brittany felt cooler under the fan?
Options:
A. Air moving under the fan is cooler than air that is still.
B. The evaporation of sweat absorbs heat from the skin.
C. Water vapor from the fan condenses on the skin.
D. The fan speeds convection currents in the air.
Answer:",The evaporation of sweat absorbs heat from the skin.,15,1,1,0.45641055703163147,0.0033743379171937704,surprise,0,0.0033743379171937704
arc_challenge_train_000060,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: Which of these is the main function of the vomiting reflex?
Options:
A. to rid the body of wastes
B. to expel food that has no nutritional value
C. to empty the stomach when it has too much food in it
D. to remove toxic material from the stomach before it is absorbed
Answer:",to remove toxic material from the stomach before it is absorbed,13,1,2,2.2345614433288574,0.00518412608653307,surprise,0,0.00518412608653307
arc_challenge_train_000088,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: The heart is the major organ of the circulatory system. Which part of the body is responsible for delivering de-oxygenated blood to the heart?
Options:
A. arteries
B. capillaries
C. valves
D. veins
Answer:",veins,3,1,3,0.976921021938324,0.0016823456389829516,surprise,0,0.0016823456389829516
arc_challenge_train_000084,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: A beaker containing 50 milliliters of ice is placed on a windowsill. After several hours, the ice melts. What property of the ice did not change when it melted?
Options:
A. the mass
B. the volume
C. the temperature
D. the state of matter
Answer:",the mass,3,1,4,1.2422877550125122,0.0026067246217280626,surprise,0,0.0026067246217280626
arc_challenge_train_000087,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: The alkaline earth metal elements are in the same family in the periodic table because they all have
Options:
A. one valence electron.
B. two valence electrons.
C. seven valence electrons.
D. eight valence electrons.
Answer:",two valence electrons.,8,1,4,0.836034893989563,0.18292444944381714,surprise,1,0.18292444944381714
arc_challenge_train_000002,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: A ship leaks a large amount of oil near a coastal area. Which statement describes how the oil most likely will affect the coastal habitat?
Options:
A. Fish reproduction rates will increase.
B. Water birds will be unable to use their wings.
C. Water plants will be exposed to more sunlight.
D. Coastal plants will have access to more nutrients.
Answer:",Water birds will be unable to use their wings.,12,1,5,0.503947913646698,0.005460377316921949,surprise,0,0.005460377316921949
arc_challenge_train_000085,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: Many stars can be seen in the sky at night. Which statement best explains why the Sun appears brighter than the stars seen in the night sky?
Options:
A. The Sun is bigger than the stars seen in the night sky.
B. The Sun is smaller than the stars seen in the night sky.
C. The Sun is closer to Earth than the stars seen in the night sky.
D. The Sun is farther from Earth than the stars seen in the night sky.
Answer:",The Sun is closer to Earth than the stars seen in the night sky.,16,1,6,0.08270575106143951,0.0009358239476568997,surprise,0,0.0009358239476568997
arc_challenge_train_000083,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: Tommy cut his finger. His body needed energy to help heal the cut. Where did the energy come from to heal the cut?
Options:
A. from the bandage he put on the cut
B. from the antiseptic cream he put on the cut
C. from the food he ate
D. from the water he drank
Answer:",from the food he ate,8,1,6,0.04081080108880997,0.003697411622852087,surprise,0,0.003697411622852087
arc_challenge_train_000069,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: Water freezing is an example of a
Options:
A. liquid changing to a solid
B. solid changing to a liquid
C. gas changing to a solid
D. gas changing to a liquid
Answer:",liquid changing to a solid,7,1,7,0.6241244673728943,0.0019838386215269566,surprise,0,0.0019838386215269566
arc_challenge_train_000055,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: In a comparison of metals to nonmetals, metals tend to have
Options:
A. lower melting points and greater conductivity than nonmetals.
B. lower conductivity and lower density than nonmetals.
C. higher density and lower melting points than nonmetals.
D. greater conductivity and higher melting points than nonmetals.
Answer:",greater conductivity and higher melting points than nonmetals.,13,1,7,0.34073641896247864,0.00029970475588925183,surprise,0,0.00029970475588925183
arc_challenge_train_000008,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: The source of energy for the Earth's water cycle is the
Options:
A. wind
B. Sun's radiation
C. Earth's radiation
D. Sun's gravity
Answer:",Sun's radiation,5,1,8,1.4905003309249878,0.002361846389248967,surprise,0,0.002361846389248967
arc_challenge_train_000042,arc_challenge,train,allenai/ai2_arc,"Task: Answer the multiple-choice science question.
Question: Secondary succession is a process that reestablishes a previously colonized, but disturbed or damaged habitat. Which will most likely result in colonization by large herbivores and carnivores?
Options:
A. saplings and trees
B. grasses and shrubs
C. lichens and mosses
D. seedlings and bushes
Answer:",saplings and trees,6,1,8,0.19318091869354248,0.0011074314825236797,surprise,0,0.0011074314825236797
