sample_id,task_name,split,input_text,target_text,source_dataset,replay_mode,replay_selection_strategy,random_selection_score,random_selection_rank,was_selected_for_replay
sciq_train_000028,sciq,train,"Task: Answer the science question.
Question: Humans possess greater diversity of what type, compared to laboratory animals?
Options:
A. pathogens
B. genetics
C. elements
D. lifespans
Answer:",genetics,allenai/sciq,random,random,0.9970306217337916,1,1
sciq_train_000036,sciq,train,"Task: Answer the science question.
Question: What are the three types of symbiotic relationships?
Options:
A. mutualism, communalism, parasitism
B. symbiosis , communalism , parasitism
C. altruism, conservatism, communalism
D. pledgism, truism, greenism
Answer:","mutualism, communalism, parasitism",allenai/sciq,random,random,0.9925454526178866,2,1
sciq_train_000079,sciq,train,"Task: Answer the science question.
Question: Air quality is a measure of what in the air?
Options:
A. pollutants
B. water
C. clouds
D. gases
Answer:",pollutants,allenai/sciq,random,random,0.9776822126054553,3,1
sciq_train_000024,sciq,train,"Task: Answer the science question.
Question: What is muscle tissue that is attached to the bone called?
Options:
A. cartilage
B. skeletal tisse
C. epithelial tissue
D. ligament
Answer:",skeletal tisse,allenai/sciq,random,random,0.9776334857459981,4,1
sciq_train_000059,sciq,train,"Task: Answer the science question.
Question: The genome of an organism consists of one or more what?
Options:
A. dna molecules
B. require molecules
C. hemoglobin molecules
D. rna molecules
Answer:",dna molecules,allenai/sciq,random,random,0.9753900950532933,5,1
sciq_train_000002,sciq,train,"Task: Answer the science question.
Question: What term is used to describe when a liquid is the temperature at which its equilibrium vapor pressure is equal to the pressure exerted on the liquid by its gaseous surroundings?
Options:
A. freezing point
B. evaporating point
C. burning point
D. boiling point
Answer:",boiling point,allenai/sciq,random,random,0.9462245377648041,6,1
sciq_train_000073,sciq,train,"Task: Answer the science question.
Question: Red-green color blindness is an example of a sex-linked condition caused by what?
Options:
A. genetic disorder
B. recessive allele
C. phenotype
D. dominant gene
Answer:",recessive allele,allenai/sciq,random,random,0.9279438495466851,7,1
sciq_train_000045,sciq,train,"Task: Answer the science question.
Question: Fluoride ion is widely used in water supplies to help prevent what?
Options:
A. tooth decay
B. bacteria
C. rust
D. chlorine taste
Answer:",tooth decay,allenai/sciq,random,random,0.9183145305431367,8,1
sciq_train_000063,sciq,train,"Task: Answer the science question.
Question: What part of an atom is electrically neutral?
Options:
A. neutrons
B. protons
C. electrons
D. newtons
Answer:",neutrons,allenai/sciq,random,random,0.8853810413219199,9,1
sciq_train_000029,sciq,train,"Task: Answer the science question.
Question: What are electromagnetic waves created by?
Options:
A. gravitational charges
B. Static Charges
C. particle charges
D. oscillating charges
Answer:",oscillating charges,allenai/sciq,random,random,0.8811962510468694,10,1
sciq_train_000086,sciq,train,"Task: Answer the science question.
Question: Plants are complex organisms with tissues organized into what?
Options:
A. systems
B. families
C. organs
D. carbons
Answer:",organs,allenai/sciq,random,random,0.8797637844004353,11,1
sciq_train_000051,sciq,train,"Task: Answer the science question.
Question: All living things are capable of what process whereby living things give rise to offspring?
Options:
A. reproduction
B. cell division
C. differentiation
D. mitosis
Answer:",reproduction,allenai/sciq,random,random,0.8334439418318753,12,1
sciq_train_000047,sciq,train,"Task: Answer the science question.
Question: Which type of cell can carry out more functions, eukaryotic cells or prokaryotic cells?
Options:
A. chromosomal cells
B. Prokaryotic Cells
C. both
D. eukaryotic cells
Answer:",eukaryotic cells,allenai/sciq,random,random,0.8290565222334145,13,1
sciq_train_000078,sciq,train,"Task: Answer the science question.
Question: Where are the oceans most polluted?
Options:
A. along reefs
B. in warmer waters
C. on the ocean floor
D. along coasts
Answer:",along coasts,allenai/sciq,random,random,0.8269499345561151,14,1
sciq_train_000001,sciq,train,"Task: Answer the science question.
Question: Virtually every task performed by living organisms requires this?
Options:
A. energy
B. metals
C. solids
D. mineral
Answer:",energy,allenai/sciq,random,random,0.7985218090241315,15,1
sciq_train_000074,sciq,train,"Task: Answer the science question.
Question: What can be switched off by a protein called the trp repressor?
Options:
A. the operon
B. the chaperone protein
C. the cytokine
D. the genetic precursor
Answer:",the operon,allenai/sciq,random,random,0.7966566832271263,16,1
sciq_train_000011,sciq,train,"Task: Answer the science question.
Question: What is the process called in which living things produce offspring?
Options:
A. photosynthesis
B. diversification
C. variation
D. reproduction
Answer:",reproduction,allenai/sciq,random,random,0.7937120638115951,17,1
sciq_train_000099,sciq,train,"Task: Answer the science question.
Question: What happens when turgid cells in a nonwoody tissue push against each other?
Options:
A. the tissue melts
B. the tissues merge
C. the tissue dies
D. the tissue stiffens
Answer:",the tissue stiffens,allenai/sciq,random,random,0.7809028017062956,18,1
sciq_train_000026,sciq,train,"Task: Answer the science question.
Question: Many cancers, as well as autism, are thought to have what component, which is certainly a factor in asthma?
Options:
A. ecological
B. critical
C. emotional
D. environmental
Answer:",environmental,allenai/sciq,random,random,0.7648373772035352,19,1
sciq_train_000066,sciq,train,"Task: Answer the science question.
Question: Which gas do people exhale during each breath?
Options:
A. nitrogen
B. oxygen
C. carbon dioxide
D. carbon monoxide
Answer:",carbon dioxide,allenai/sciq,random,random,0.7630625147109074,20,1
sciq_train_000042,sciq,train,"Task: Answer the science question.
Question: Maintaining a high metabolic rate takes a lot of what?
Options:
A. energy
B. power
C. fuel
D. hydrogen
Answer:",energy,allenai/sciq,random,random,0.7584487622722343,21,1
sciq_train_000038,sciq,train,"Task: Answer the science question.
Question: What is the term for the hard, round object produced within the mantle of a living shelled mollusk?
Options:
A. pearl
B. ball
C. glass
D. root
Answer:",pearl,allenai/sciq,random,random,0.7303350555112519,22,1
