sample_id,task_name,split,source_dataset,input_text,target_text,token_count,early_loss,surprise_score,replay_selection_score,utility_score,utility_label,was_selected_for_replay,auto_replay_tag,auto_tag_reason,human_review_status,human_review_label,human_review_notes,final_replay_decision
sciq_train_000050,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Different feeding ""positions"" in a food chain or web are associated with what kinds of levels?
Options:
A. autotrophic
B. heptic
C. benthic
D. trophic
Answer:",trophic,4,3.450906753540039,3.450906753540039,0.0619103303590087,0.0619103303590087,0,0,needs_human_review,proxy utility label indicates the sample was not selected for replay. utility_score is available but not in the top 30% within the task. early_loss is in the top 30% within the task; surprise_score is in the top 30% within the task.,pending,,,
sciq_train_000079,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Air quality is a measure of what in the air?
Options:
A. pollutants
B. water
C. clouds
D. gases
Answer:",pollutants,2,7.158679962158203,7.158679962158203,0.6064359396682929,0.6064359396682929,0,0,needs_human_review,proxy utility label indicates the sample was not selected for replay. utility_score is available but not in the top 30% within the task. early_loss is in the top 30% within the task; surprise_score is in the top 30% within the task.,pending,,,
sciq_train_000012,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: Scientists use what scale to illustrate the order in which events on earth have happened?
Options:
A. cataclysmic time scale
B. ecological succession
C. geologic time scale
D. fossil record
Answer:",geologic time scale,5,4.391053199768066,4.391053199768066,0.3810613009513235,0.3810613009513235,0,0,needs_human_review,proxy utility label indicates the sample was not selected for replay. utility_score is available but not in the top 30% within the task. early_loss is in the top 30% within the task; surprise_score is in the top 30% within the task.,pending,,,
sciq_train_000070,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What larger theory is einstein's equation part of?
Options:
A. theory of relativity
B. cycle of relativity
C. law of relativity
D. excess of relativity
Answer:",theory of relativity,5,2.3840997219085693,2.3840997219085693,0.932749104549424,0.932749104549424,1,1,high_value_candidate,proxy utility label indicates the sample was selected for replay. utility_score is in the top 30% within the task. early_loss is in the top 30% within the task; surprise_score is in the top 30% within the task.,pending,,,
sciq_train_000027,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is the unit of liquid measurement in the metric system?
Options:
A. gallon
B. liter
C. pint
D. cylinder
Answer:",liter,3,2.0815515518188477,2.0815515518188477,0.283575107372961,0.283575107372961,0,0,needs_human_review,proxy utility label indicates the sample was not selected for replay. utility_score is available but not in the top 30% within the task. early_loss is in the top 30% within the task; surprise_score is in the top 30% within the task.,pending,,,
sciq_train_000052,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What bonds cause water to have a high boiling point, leaving most water on earth in a liquid state rather than in a gaseous state?
Options:
A. carbon bonds
B. potassium bonds
C. hydrogen bonds
D. helium bonds
Answer:",hydrogen bonds,3,3.551544189453125,3.551544189453125,0.781862250520653,0.781862250520653,1,1,high_value_candidate,proxy utility label indicates the sample was selected for replay. utility_score is in the top 30% within the task. early_loss is in the top 30% within the task; surprise_score is in the top 30% within the task.,pending,,,
sciq_train_000094,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is another word for brooding- keeping eggs warm while the embryos develop?
Options:
A. incubation
B. fertilization
C. spawning
D. hibernation
Answer:",incubation,4,1.7074187994003296,1.7074187994003296,0.6521590439872441,0.6521590439872441,0,0,needs_human_review,proxy utility label indicates the sample was not selected for replay. utility_score is available but not in the top 30% within the task. early_loss is in the top 30% within the task; surprise_score is in the top 30% within the task.,pending,,,
sciq_train_000020,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What do you call taxes placed on products that produce carbon dioxide?
Options:
A. pollution tax
B. chemical tax
C. carbon taxes
D. emission tax
Answer:",carbon taxes,3,0.2288380414247512,0.2288380414247512,0.6786820766642784,0.6786820766642784,0,0,low_priority,proxy utility label indicates the sample was not selected for replay. utility_score is available but not in the top 30% within the task. early_loss is available; surprise_score is available.,pending,,,
sciq_train_000044,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What is the process bacteria use to break down chemicals into food?
Options:
A. cellular respiration
B. gametogenesis
C. chemosynthesis
D. biosynthesis
Answer:",chemosynthesis,5,0.912630259990692,0.912630259990692,0.4928720200987435,0.4928720200987435,0,0,low_priority,proxy utility label indicates the sample was not selected for replay. utility_score is available but not in the top 30% within the task. early_loss is available; surprise_score is available.,pending,,,
sciq_train_000036,sciq,train,allenai/sciq,"Task: Answer the science question.
Question: What are the three types of symbiotic relationships?
Options:
A. mutualism, communalism, parasitism
B. symbiosis , communalism , parasitism
C. altruism, conservatism, communalism
D. pledgism, truism, greenism
Answer:","mutualism, communalism, parasitism",11,1.5373873710632324,1.5373873710632324,0.5946891619087629,0.5946891619087629,0,0,needs_human_review,proxy utility label indicates the sample was not selected for replay. utility_score is available but not in the top 30% within the task. early_loss is in the top 30% within the task; surprise_score is in the top 30% within the task.,pending,,,
